date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:55	5379/5379	---M--	200	added ('OK')	image/png	date:Sat,%2019%20May%202018%2023:09:02%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/client/xclient-7.png.pagespeed.ic.eWCt7Inz7t.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/client/xclient-7.png.pagespeed.ic.eWCt7Inz7t.png	(from https://preview.colorlib.com/theme/educrown/)
10:29:56	5221/5221	---M--	200	added ('OK')	image/png	date:Sat,%2019%20May%202018%2023:09:03%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/client/xclient-8.png.pagespeed.ic.-s6_im6zqQ.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/client/xclient-8.png.pagespeed.ic.-s6_im6zqQ.png	(from https://preview.colorlib.com/theme/educrown/)
10:29:56	5396/5396	---M--	200	added ('OK')	image/png	date:Sat,%2019%20May%202018%2023:09:04%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/client/xclient-9.png.pagespeed.ic.4d7n3XcChl.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/client/xclient-9.png.pagespeed.ic.4d7n3XcChl.png	(from https://preview.colorlib.com/theme/educrown/)
10:29:56	5944/5944	---M--	200	added ('OK')	image/png	date:Sat,%2019%20May%202018%2023:08:58%20GMT	https://preview.colorlib.com/theme/educrown/assest/img/client/xclient-10.png.pagespeed.ic.G_ZAZwfMwO.png	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/img/client/xclient-10.png.pagespeed.ic.G_ZAZwfMwO.png	(from https://preview.colorlib.com/theme/educrown/)
10:29:57	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217b8b-56c972a0e6040-gzip%22	https://preview.colorlib.com/theme/educrown/assest/js/vendor/jquery-1.12.4.min.js	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/js/vendor/jquery-1.12.4.min.js	(from https://preview.colorlib.com/theme/educrown/)
10:29:57	59622/59622	---MCZ	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://preview.colorlib.com/theme/educrown/assest/js/vendor/bootstrap.min.js+jquery.easing.1.3.js+jquery-migrate-1.2.1.min.js+jquery.appear.js.pagespeed.jc.HBfaI5N2X6.js	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/js/vendor/bootstrap.min.js+jquery.easing.1.3.js+jquery-migrate-1.2.1.min.js+jquery.appear.js.pagespeed.jc.HBfaI5N2X6.js	(from https://preview.colorlib.com/theme/educrown/)
10:29:58	40402/40402	---MCZ	200	added ('OK')	application/javascript	etag:W/%229dd2-56c97237fe8c0-gzip%22	https://preview.colorlib.com/theme/educrown/assest/js/owl.carousel.min.js	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/educrown/)
10:29:58	23276/23276	---MCZ	200	added ('OK')	application/javascript	etag:W/%225aec-56c97239e6d40-gzip%22	https://preview.colorlib.com/theme/educrown/assest/js/stellar.js	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/js/stellar.js	(from https://preview.colorlib.com/theme/educrown/)
10:29:59	64973/64973	---MCZ	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://preview.colorlib.com/theme/educrown/assest/js/waypoints.min.js+jquery.counterup.min.js+wow.min.js+jquery-modal-video.min.js+stellarnav.min.js+placeholdem.min.js+contact-form.js+jquery.ajaxchimp.js+jquery.sticky.js+main.js+maps.active.js.pagespeed.jc.BydAOPLfEh.js	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/js/waypoints.min.js+jquery.counterup.min.js+wow.min.js+jquery-modal-video.min.js+stellarnav.min.js+placeholdem.min.js+contact-form.js+jquery.ajaxchimp.js+jquery.sticky.js+m	(from https://preview.colorlib.com/theme/educrown/)
10:29:59	7708/7708	---MCZ	200	added ('OK')	text/css	etag:W/%221e1c-56c97261f4bc0-gzip%22	https://preview.colorlib.com/theme/educrown/assest/css/plugins/normalize.css	D:/Http_stites/theme/preview.colorlib.com/theme/educrown/assest/css/plugins/normalize.css	(from https://preview.colorlib.com/theme/educrown/assest/css/plugins.css)
